NAME,DESCRIPTION,CHECK DATE,AMOUNT
,,,
3D MECHANICAL PLUMBING INC,Repairs-Buildings,05/21/2019,"$7,269.88"
3D MECHANICAL/SERVICE CO INC,Repairs-Buildings,05/14/2019,"$8,204.00"
3I CONTRACTING LLC,Consultant-Archit Reimb (Obs),05/30/2019,"$4,000.00"
3PLAY MEDIA INC,Cloud Based Services,05/21/2019,"$5,000.00"
4 COLOR PRESS,Printing-Other,05/02/2019,$949.15
4 COLOR PRESS,Printing-Other,05/02/2019,$361.35
4 COLOR PRESS,Printing-Brochures,05/14/2019,"$1,055.62"
4 COLOR PRESS,Printing-Brochures,05/30/2019,$487.19
A & B ALUMINUM & BRASS FOUNDRY,Miscellaneous,05/07/2019,"$2,132.00"
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,05/09/2019,$835.68
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,05/21/2019,"$1,305.04"
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,05/30/2019,$124.15
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,05/30/2019,$66.17
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,05/30/2019,$25.56
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,05/30/2019,$51.00
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,05/30/2019,$39.60
A LIGHT CONSTRUCTION,Repairs-Grounds,05/07/2019,"$3,895.50"
A LIGHT CONSTRUCTION,Repairs-Grounds,05/07/2019,$548.80
A LIGHT CONSTRUCTION,Repairs-Physical Plant Equipment,05/14/2019,"$8,648.50"
A LIGHT CONSTRUCTION,Repairs-Other,05/30/2019,"$3,606.40"
A'LA CARTE FOOD SERVICE CONSUL,Other Contracted Svces/Labor,05/14/2019,"$2,600.00"
A+ CHARTER SCHOOLS INC,Instructional Service Contracts,05/21/2019,"$1,000.00"
A.C.I.S.,Repairs-Other,05/02/2019,"$3,230.69"
A.C.I.S.,Repairs-Buildings,05/07/2019,$658.44
A.C.I.S.,Repairs-Buildings,05/07/2019,$406.45
A.C.I.S.,Repairs-Buildings,05/07/2019,"$2,598.89"
A.C.I.S.,Repairs-Buildings,05/07/2019,"$6,258.62"
A.C.I.S.,Other Contracted Svces/Labor,05/09/2019,$855.00
A.C.I.S.,Other Contracted Svces/Labor,05/09/2019,"$1,138.10"
A.C.I.S.,Service Contracts,05/14/2019,$232.26
A.C.I.S.,Service Contracts,05/14/2019,$551.11
A.C.I.S.,Service Contracts,05/14/2019,$517.45
A.C.I.S.,Service Contracts,05/14/2019,"$2,025.08"
A.C.I.S.,Service Contracts,05/14/2019,"$1,914.63"
A.C.I.S.,Service Contracts,05/14/2019,"$1,420.70"
A.C.I.S.,Service Contracts,05/14/2019,$464.52
A.C.I.S.,Repairs-Physical Plant Equipment,05/16/2019,"$13,330.00"
A.C.I.S.,Repairs-Physical Plant Equipment,05/16/2019,"$2,009.21"
A.C.I.S.,Repairs-Physical Plant Equipment,05/16/2019,$571.29
A.C.I.S.,Service Contracts,05/21/2019,"$2,261.92"
A.C.I.S.,Service Contracts,05/21/2019,"$6,979.10"
A.C.I.S.,Other Contracted Svces/Labor,05/23/2019,"$6,718.83"
A.C.I.S.,Other Contracted Svces/Labor,05/23/2019,"$3,933.23"
A.C.I.S.,Service Contracts,05/30/2019,"$5,544.57"
A.C.I.S.,Service Contracts,05/30/2019,$571.29
AAA NURSERY SAND & STONE INC,Non-Inv Site Improvements,05/30/2019,$978.96
AACRAO,Seminar/Registration Fees,05/07/2019,$790.00
AACRAO,Memberships,05/21/2019,"$1,280.00"
AACRAO,Memberships,05/30/2019,"$1,280.00"
AAF INTERNATIONAL,HVAC Supplies,05/14/2019,$673.44
AASCU,Seminar/Registration Fees,05/09/2019,"$1,350.00"
AAWCC,Seminar/Registration Fees,05/07/2019,"$1,995.00"
ABBOTT-IPCO INC,Non-Inv Site Improvements,05/02/2019,"$1,395.80"
ABBOTT-IPCO INC,Clubs,05/16/2019,"$1,590.19"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,05/09/2019,$157.50
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/14/2019,"$8,669.24"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/14/2019,"$53,214.70"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/14/2019,"$31,894.99"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/14/2019,"$9,106.30"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/14/2019,"$1,583.05"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/14/2019,"$4,274.46"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/14/2019,"$3,446.19"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/14/2019,"$39,270.68"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/14/2019,"$4,351.97"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,$396.00
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$8,669.24"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$53,214.70"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$9,106.30"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$1,583.05"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$3,446.19"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$39,270.68"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$4,274.46"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$4,351.97"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$31,894.99"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,$992.71
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$71,314.58"
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,05/21/2019,"$36,289.56"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,05/09/2019,"$71,314.58"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,05/09/2019,"$36,289.56"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,05/09/2019,$992.71
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,05/09/2019,"$71,314.58"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,05/09/2019,"$1,996.00"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/30/2019,"$17,962.82"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/30/2019,"$14,162.25"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/30/2019,"$9,099.75"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/30/2019,"$9,099.75"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/02/2019,$288.00
ABM INDUSTRIES INC,Service Contracts-Custodial,05/02/2019,$198.00
ABM INDUSTRIES INC,Service Contracts-Custodial,05/02/2019,$774.00
ABM INDUSTRIES INC,Service Contracts-Custodial,05/02/2019,$792.00
ABM INDUSTRIES INC,Service Contracts-Custodial,05/02/2019,"$1,559.25"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/02/2019,$702.00
ABM INDUSTRIES INC,Service Contracts-Custodial,05/07/2019,"$17,962.82"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/07/2019,"$14,162.25"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/07/2019,"$17,962.82"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/07/2019,"$9,099.75"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/07/2019,"$14,162.25"
ABM INDUSTRIES INC,Other Contracted Svces/Labor,05/14/2019,$450.00
ABM INDUSTRIES INC,Service Contracts-Custodial,05/16/2019,"$3,857.58"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/16/2019,"$3,857.58"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/16/2019,"$72,740.80"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/16/2019,"$72,740.80"
ABM INDUSTRIES INC,Service Contracts-Custodial,05/30/2019,"$17,962.82"
ACADEMIC CAREER & EXECUTIVE SE,Consultant,05/02/2019,"$2,414.40"
ACADEMIC CAREER & EXECUTIVE SE,Consultant,05/02/2019,"$1,292.44"
ACADEMIC CAREER & EXECUTIVE SE,Consultant,05/02/2019,"$1,294.82"
ACADEMIC CAREER & EXECUTIVE SE,Consultant,05/30/2019,"$20,400.00"
ACADEMIC CAREER & EXECUTIVE SE,Consultant,05/30/2019,"$20,400.00"
ACCO BRANDS USA LLC,Repairs-Office Equipment,05/23/2019,$200.00
ACE PARKING MANAGEMENT INC,Other Contracted Svces/Labor,05/21/2019,$630.89
ACFEF,Seminar/Registration Fees,05/21/2019,"$3,600.00"
ACHIEVING THE DREAM INC,Seminar/Registration Fees,05/14/2019,$695.00
ACHIEVING THE DREAM INC,Seminar/Registration Fees,05/14/2019,$550.00
ACHIEVING THE DREAM INC,Memberships,05/21/2019,"$3,000.00"
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/02/2019,$259.65
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/02/2019,$408.00
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/14/2019,$89.87
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/14/2019,$17.35
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/14/2019,$253.73
